,Seg,Emotion,Role,wav_path,txt_path
13,Sess01_script06_F016,happy,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F016.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F016.txt
14,Sess01_script04_M001,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M001.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M001.txt
15,Sess01_script06_F021,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F021.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F021.txt
16,Sess01_script04_M008,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M008.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M008.txt
17,Sess01_impro04_M025,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M025.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M025.txt
18,Sess01_script03_F003,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_F003.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_F003.txt
19,Sess01_impro03_F004,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F004.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F004.txt
20,Sess01_script01_M005,fear,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M005.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M005.txt
21,Sess01_impro02_M005,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M005.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M005.txt
22,Sess01_script02_F003,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F003.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F003.txt
23,Sess01_script01_F018,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F018.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F018.txt
24,Sess01_script03_F012,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_F012.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_F012.txt
25,Sess01_impro01_M015,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_M015.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_M015.txt
26,Sess01_script04_F016,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_F016.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_F016.txt
27,Sess01_script02_F010,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F010.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F010.txt
28,Sess01_script04_F014,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_F014.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_F014.txt
29,Sess01_script06_F014,happy,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F014.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F014.txt
30,Sess01_script05_M003,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M003.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M003.txt
31,Sess01_impro04_M007,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M007.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M007.txt
32,Sess01_script03_M001,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_M001.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_M001.txt
33,Sess01_script05_F004,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_F004.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_F004.txt
34,Sess01_script05_M007,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M007.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M007.txt
35,Sess01_impro03_F009,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F009.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F009.txt
36,Sess01_script02_F002,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F002.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F002.txt
37,Sess01_impro04_F008,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F008.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F008.txt
38,Sess01_script01_M020,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M020.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M020.txt
39,Sess01_script06_M008,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M008.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M008.txt
40,Sess01_script01_F006,fear,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F006.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F006.txt
41,Sess01_script06_F006,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F006.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F006.txt
42,Sess01_script02_F024,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F024.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F024.txt
43,Sess01_script01_F017,fear,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F017.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F017.txt
44,Sess01_impro03_M020,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M020.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M020.txt
45,Sess01_impro02_M021,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M021.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M021.txt
46,Sess01_script01_F004,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F004.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F004.txt
47,Sess01_impro03_M014,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M014.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M014.txt
48,Sess01_script03_F006,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_F006.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_F006.txt
49,Sess01_script05_F020,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_F020.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_F020.txt
50,Sess01_impro04_M013,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M013.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M013.txt
51,Sess01_script06_M026,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M026.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M026.txt
52,Sess01_script02_F008,happy,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F008.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F008.txt
53,Sess01_impro04_M003,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M003.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M003.txt
54,Sess01_impro03_F010,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F010.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F010.txt
55,Sess01_script02_F005,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F005.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F005.txt
56,Sess01_script01_F008,fear,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F008.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F008.txt
57,Sess01_impro03_M013,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M013.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M013.txt
58,Sess01_script05_F018,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_F018.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_F018.txt
59,Sess01_script02_F016,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F016.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F016.txt
60,Sess01_impro02_F007,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_F007.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_F007.txt
61,Sess01_impro04_M002,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M002.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M002.txt
62,Sess01_script06_F008,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F008.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F008.txt
63,Sess01_script06_F004,disgust,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F004.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F004.txt
64,Sess01_script02_M005,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_M005.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_M005.txt
65,Sess01_impro03_M003,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M003.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M003.txt
66,Sess01_impro01_F009,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_F009.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_F009.txt
67,Sess01_script06_M004,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M004.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M004.txt
68,Sess01_script06_M014,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M014.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M014.txt
69,Sess01_script03_M012,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_M012.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_M012.txt
70,Sess01_script05_M012,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M012.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M012.txt
71,Sess01_impro04_F003,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F003.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F003.txt
72,Sess01_impro03_M005,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M005.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M005.txt
73,Sess01_impro01_F006,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_F006.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_F006.txt
74,Sess01_script05_M024,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M024.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M024.txt
75,Sess01_script03_F013,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_F013.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_F013.txt
76,Sess01_impro03_F021,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F021.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F021.txt
77,Sess01_impro02_F018,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_F018.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_F018.txt
78,Sess01_impro03_M012,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M012.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_M012.txt
79,Sess01_impro03_F023,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F023.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F023.txt
80,Sess01_impro04_F031,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F031.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F031.txt
81,Sess01_script05_F019,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_F019.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_F019.txt
82,Sess01_impro04_F033,happy,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F033.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F033.txt
83,Sess01_impro01_F010,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_F010.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_F010.txt
84,Sess01_script01_M016,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M016.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M016.txt
85,Sess01_impro02_F002,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_F002.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_F002.txt
86,Sess01_impro01_M014,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_M014.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_M014.txt
87,Sess01_impro02_M009,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M009.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M009.txt
88,Sess01_script04_F013,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_F013.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_F013.txt
89,Sess01_impro04_M019,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M019.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M019.txt
90,Sess01_impro02_F015,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_F015.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_F015.txt
91,Sess01_impro02_M023,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M023.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M023.txt
92,Sess01_impro04_F014,happy,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F014.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F014.txt
93,Sess01_script04_F004,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_F004.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_F004.txt
94,Sess01_script03_M005,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_M005.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script03/Sess01_script03_M005.txt
95,Sess01_impro02_M013,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M013.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M013.txt
96,Sess01_script01_M002,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M002.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M002.txt
97,Sess01_script06_F009,disgust,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F009.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_F009.txt
98,Sess01_script02_M011,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_M011.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_M011.txt
99,Sess01_script02_M028,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_M028.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_M028.txt
100,Sess01_script04_M016,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M016.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M016.txt
101,Sess01_script05_M013,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M013.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script05/Sess01_script05_M013.txt
102,Sess01_script02_M001,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_M001.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_M001.txt
103,Sess01_script01_M008,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M008.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M008.txt
104,Sess01_script06_M002,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M002.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M002.txt
105,Sess01_script06_M017,happy,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M017.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script06/Sess01_script06_M017.txt
106,Sess01_impro02_M022,sad,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M022.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M022.txt
