0	1	2
Sess02_impro01_F014	0	'(응? 근데)    이러고 있으니까 되게 옛날 생각난다. (그지?)'
Sess02_impro04_F008	3	'예.'
Sess02_script04_F003	5	'o  아 지금 생각 할 게 뭐가 있어. 지섭씨 여기 있어. 일단은 내가 가서 보고 올테니까. 어?'
Sess02_script03_M030	0	'1억? 그래.    인심 쓴다.    자 돈 찾으면 바로 현금으로 줄게. o'
Sess02_script01_F007	0	'궁금해?'
Sess02_impro02_M013	2	'아 됐어 씨 엄마랑도 말 안 할거야.'
Sess02_impro01_F042	0	'진짜?'
Sess02_script03_F002	4	'o  참 가지가지 한다. 아 그거 방송 후에 검색을 하면 되지 무슨 본방사수를 하면서 봐. 아주 정성이 오진다 아주.'
Sess02_script04_F023	1	'o  아 무 지 뭐하려고.'
Sess02_impro04_M017	2	'아니 (부장님 말을) 아 나 어이가 없네. 둘이가 짜고 치고 아 어쩐지 회사에서 말 많았어요. 부장님. o  아 이러시면 안 돼죠. 열심히 일하고.'
Sess02_script03_M004	3	'아    아이 저 가만히 있어 이씨.    이게 다 어?    정성을 닮아서    정성을 담아야 어? 당첨이 되는 거라고 이씨.    나의 온 기운을 모아서 그리고 소망도 담아서 마    한땀 한땀 마킹한 번호 여섯 개가 빡 빛이 나는 순간까지    본방을 보면서 간절히 원하고 또 원해야 당첨이 된다. 어? o'
Sess02_impro04_F012	3	'아무래도 그렇겠죠? 회사차원에서 여는 거니까?'
Sess02_impro03_F023	2	'나가라고요 당장.'
Sess02_impro02_M004	3	'그 내가 말했던 그 맨날 회사에 그 괴롭히 나 괴롭힌다는 김부장 있잖아.'
Sess02_impro04_M010	1	'아니.    부장님 한번만 더 윗선에다 그럼 말씀을 해주시면 안될까요? 이렇게 해서 제가 회사 (빨간 줄    이렇게 하면)'
Sess02_script04_M009	0	'아    고라니였나보다. 그치?    고라니였나보다. 아    고라니였어. o  아이 너랑 나랑 술 마셔서    아 그래서 사람을 고라니로 착각한 거야.'
Sess02_impro02_F023	6	'응.'
Sess02_impro03_M004	2	'o  페페로치니.'
Sess02_script01_F011	4	'근데 중국집 얘기는 조금 실망스럽다.'
Sess02_script06_M004	3	'아니 일하는데 마음먹고 아이디어 비슷한 사람들끼리 하는 거죠.    누굴 차고 뭐 차이고 그런 건 아니에요.'
Sess02_impro01_F008	3	'아냐 밴드 붙이면 더 안 좋대.'
Sess02_impro01_M035	0	'(뭐 사) 내일 재료 맛있는 거 사.'
Sess02_script01_F003	3	'빨리.'
Sess02_impro01_M001	3	'아 나왔어.'
Sess02_impro03_M013	2	'아니 주방 저 오기 전에 주방 책임자 아니셨나요?'
Sess02_impro01_F045	3	'손 예쁘게 치료해놓고 꼭 그렇게 말을 밉게 하지.'
Sess02_script06_M012	3	'아니요?    기본이 부족해서 싫고    뭐 이 뜻은 심사위 심사위원 모두가 공감했습니다.    제가 말씀드리면 소은씨는 발전하는게 아니라 퇴보하게 될 거고요.    발전이란    바탕이 있어야 높아지는데 뭐 잔인한 얘기지만 소은씨는 바탕이 부족합니다. 보고서 작성 후 읽어는 보셨나요? 페이지 하나 하나마다 오타가 하나씩 있던데 아니 또 (그리고)'
Sess02_impro02_F007	2	'에에 무슨 그런 얘기를 해.'
Sess02_impro04_M001	3	'네, 부르셨었다고.'
Sess02_impro02_M019	2	'아 진짜 엄마 선희에 대해서 함부로 말하지 마. 엄만 사랑을 몰라.'
Sess02_impro03_M011	3	'내가 맛을 봤을 땐 지금 완전 식용유나 카놀라유로 그냥.'
Sess02_script04_M004	5	'어 어. 아 죽었으면 어떡하지?    아이 씨 괜히 술 마셔가지고    아유 신고를 해야되나. 아니 야야야    아니야 나중에 일 더 커질 수도 있어. 이 그러면은 이걸 어떻.'
Sess02_impro01_F018	0	'아 진짜.'
Sess02_impro03_F015	2	'예?'
Sess02_impro01_M010	3	'아이 밴드 붙여야된다니까.'
Sess02_script04_F005	5	'아니    그게 있잖아. 아 아 아무것도 도로에 없어.'
Sess02_script03_F024	0	'o  아 오빠. 내가 오빠 잘될줄 알았다니까. o'
Sess02_script06_F007	3	'아    그건 뭐랄까 음       아쉬움? 그래요 아쉬움 음.'
Sess02_script04_F008	3	'그러니까'
Sess02_script06_F013	2	'개인적인 감정인가요?'
Sess02_script01_F031	3	'아 미장원에서 샴푸 하면서 동네 아줌마들이 주는 팁좀 모았지. 아유    오빠 돈 걱정 하지 마. 내가 먹여 살릴게.'
Sess02_script03_F026	0	'지금. 지금 바로 전화걸게 어?    내 친구들 많아.'
Sess02_script03_F022	0	'알았어 알았어 걱정하지마. 내가 입이    무겁잖아. 아이 그러니까 신상(구두   )'
Sess02_script03_M025	5	'(구두    그) 로또 1등 점탕되고나서 막 그 1등 당첨된 사람만 막 쫓아다니고 막 돈 뺏고 구걸하고 막 그런 사람들 있다잖아.    그러니까 혹시 모르니까 이건 진짜 너랑 나랑만 아는 비밀이다.'
Sess02_script01_F010	3	'나랑 같이 살려면 꿈이 있어야 되는 거 아니야?'
Sess02_script05_M013	3	'회사다닐 때    그럼 됐죠 뭐.    아니 연애얘길 물어본게    뭐 좀 실례였다면 이해해주세요.    어쨌든 이게 다 면접의 방식중 하나니까.    왜그래요? 이해하시죠? 음 이력서 보니깐 뭐 특기가 노래랑 춤이라고 적혀있는데 노래 잘 해요?'
Sess02_impro02_F020	3	'그래 엄마 이제 사랑이 뭔지도 몰라. 니 아빠 돌아가시고 인제 사랑이 뭔지도 다 잊어버렸어.    근데 음 아들 사랑이 언제나 맛있을 수 만은 없어. 그건 나 때도 그렇고 너 때도 비슷할 거야. 어디 사랑이 매번 좋기만 하겠니 쓴맛도 있고 매운맛도 있고 처음 맛 보는 이상한 맛일 수도 있어.'
Sess02_script03_F020	0	'(미치겠다 이거 우아 어 사랑하는 오빠) 나 o  잊지마. 나 잊으면 안돼.    o  아 나 마침 구두 새로 사야 되는데. o'
Sess02_impro02_F021	3	'음.    울고 싶으면 울어. 울어도 돼. 오늘 세상에서 제일 슬픈 거는 너니까 그리고 그래도 나이니까    응 너랑 헤어진 여자친구도 세상에서 제일 슬플거야.    응 괜찮아? 괜찮아?'
Sess02_impro01_M029	3	'아이 참. o  (아니)'
Sess02_impro01_M017	3	'아 그때 나 완전 제정신 아니였어.'
Sess02_impro01_M021	3	'아 무슨 말을 또 왜 그러실까? 갑자기.    o'
Sess02_script03_F025	0	'o  아 오빠 내가 (어  내 친구) 은지랑 그 소개팅 하고싶다고 그랬잖아. 내가 바로 주선해볼게. o'
Sess02_script03_F017	0	'어 오빠 진짜? 어떡해 어떡해. o'
Sess02_impro02_F016	3	'음.'
Sess02_script03_F019	0	'o  아 제대로 꼬집어야 꿈인지 아닌지 알 수 있지. o'
Sess02_script01_M027	0	'여진아.'
Sess02_script04_M005	2	'아 씨 으휴 왜 야밤에 아 씨 내 차에 치이고 씨    아 이거 미치겠네 이거   .'
Sess02_impro04_F007	3	'(전 잘 이해가 잘 안되는데 일단 제출했던) 일단 제출했던 업체 예산보다 오바되는 점이 많고 주로 이런 일이 생기면 징계위원회를 여는게 맞아요. 가서 뭐.'
Sess02_impro01_F032	0	'어허?'
Sess02_script04_F020	5	'저 저 저기.'
Sess02_impro04_M015	3	'(이렇게 전무님이랑도) 이야기 할 수 있나요? 지금?'
Sess02_impro03_M023	2	'이렇게 할 수 밖에 없게 만들었잖아요. 지금 미윤씨가 아니    이럴거면 음식을 하지말고    서빙이나 하던가 왜 주방 들어와가지고 (  )'
Sess02_impro03_M002	3	'이 파스타를 지금 어떻게 맛을 낸 거죠?'
Sess02_script06_F016	2	'아니 그래도.'
Sess02_impro03_F020	2	'아니 이제까지    문제없이 식당 잘 돌아갔구요. 이렇게 급작스럽게 오셔가지고 평가니 뭐니하면서 지금 오픈시간 늦추고 계시잖아요. 전 이게 더 안 좋다고 생각합니다만.'
Sess02_script03_F023	0	'걱정마. 걱정마. 나 오빠 동생이야 친동생. 나 몰라? 나 못믿어?'
Sess02_impro01_M011	3	'(자요 아이) 야 그래도 이런 거는 붙이고 수 잠깐인데 약상자 어디 뒀어? 어딨어 이거. 응 손 줘봐.'
Sess02_impro01_F027	0	'아    왜 자꾸 자래.'
Sess02_script02_M010	1	'아이 장난이지? 농담이지 지금?    지금이라도 빨리 병원 가봐야 되는 거 아니야?'
Sess02_script03_F015	2	'o  아 뭔데 빨리.'
Sess02_script04_F009	3	'아 그러니까 그 어.'
Sess02_script03_F010	1	'(   아 설마) o'
Sess02_script03_M024	3	'이 사실 그 누구한테도 말하면 안돼. o'
Sess02_impro01_M038	3	'아이 사랑해. o  N  사랑해. 자 빨리.'
Sess02_script02_M019	6	'여보. 그런 생각 하지마.    지금도 안 늦었어 이 일단 일단 정리하고 병원 가자 어?'
Sess02_impro01_M027	3	'뭐 빨리 자 빨리.'
Sess02_script02_F001	3	'뭐 그렇게 재밌어?'
Sess02_script04_F001	5	'몰라. 아 어떡해. 어떡해.'
Sess02_impro02_M015	6	'아 몰라 이유도 모르겠어 헤어질 거 같애.'
Sess02_script01_F001	0	'음 맛있다.       왜 자기 왜 안 먹어?'
Sess02_script01_F012	0	'(고 오) o  맛있겠다.'
Sess02_impro01_M037	3	'아이.'
Sess02_script01_F023	0	'아 그러니까 젓가락 100개라는게.    아 우리들 만난지 100일 되는 날이라서 준비했다 뭐 이런 거야?       진짜.'
Sess02_impro02_M012	2	'(듣지 아우) 아 엄마 내가 회사에서 치이고 여자친구한테 치이고 나 지금 외롭고 힘들어 어? 내 말 좀 들어줬으면 좋겠는데 엄마까지 왜 그러냐?'
Sess02_impro04_M008	3	'그럼 전 감봉당하고    저 죄송한데 저 그러면 서 생활하는 게 좀 힘들어져서    아 그런 (부분은).'
Sess02_impro01_F036	3	'아 빨리 한번만 해 줘.'
Sess02_impro01_F033	0	'아 빨리 하라고. o'
Sess02_impro02_M017	3	'지금 이 와중에 그게 뭐 그게 무슨 말이야.'
Sess02_impro04_F010	3	'아.'
Sess02_script01_F019	4	'이게 뭐야? 중국집 젓가락들이잖아.'
Sess02_impro03_F014	2	'(네 아니) 시키신 게 이렇게 많았는데 제가 어떻게 그 밑에 있는 애들까지 다 봅니까? 일단은 제 역할을 하느라 제가 조금 뭐.'
Sess02_script02_M024	6	'미선아 내가 잘못했다. 어?    내가 잘못했어. 그니까 빨리 병원 가서 검사받자. 어? 제발 제발 좀 나랑 같이 살아주라.'
Sess02_script01_F016	2	'하도 불쌍하구 보잘것 없어 보여가지고 해준다고 한 거지.    내가 당신처럼 어리버리한 남자를 뭐가 좋다고 결혼을 해.'
Sess02_impro01_M018	3	'그때 나 진짜 세상이 무너지는 줄 알았다니까. o  N  어?    나 모든 걸 다 잃는 줄 알았어.'
Sess02_script02_F007	6	'당신 나 없어도 꿋꿋하게 애들 키우면서 살아야 돼,'
Sess02_impro04_M004	1	'추가비용 발생했다고 징계위원회를 연다구요?'
Sess02_script01_M021	6	'에유 에 미안해 사실 이 이번에도 월급을 못 받았어.    가게 사정도 어렵고 근데 또 우리 오늘 만난지 100일이잖아. 그래서 사줄 수 있는 선물이. o'
Sess02_script02_F014	6	'여보.    우리 아버지 기억해? 사고로 돌아가신 울 아빠?'
Sess02_script04_F012	5	'아 자기 무섭게 왜 이래. o'
Sess02_script03_M006	2	'아이 씨 지금 하고 있으니까 좀 끝나고 준다고 씨.'
Sess02_script04_M027	5	'왜 그냥 그냥 그냥 가면 되는 거야.    아무일도 없었던 거야. o  가자.'
Sess02_script04_M020	2	'지금 니가    지금 니가 내한테 하는 짓이 더 이상해.'
Sess02_impro04_M021	4	'수고하세요.'
Sess02_script05_M003	3	'네 네 잘 알겠습니다.    아 그래도 뭐 학점은 꽤 높네요.    전공지식도 풍부하시고 대학원까지 나오셨으니까    어 뭐 이분야에 대해선 거 아시는 것도 많으실 거 같고. o'
Sess03_script06_F030	0	''
Sess03_script06_M017	1	'로또 1등이야. 어? 1등    야 이거 이거 어쩔 이거 어쩔 o  거야 어쩜좋아 이거.'
Sess03_script01_F007	5	'지섭씨.    사람하고 고라니를 구분 못 할 정돈 아니잖아.'
Sess03_script03_M012	3	'(좀 아) 됐구요.    취직공부 하느라고 연애 할 시간도 없었던 거죠?    그러면은 마지막 연애는 언제에요?'
Sess03_script02_M032	0	'여진아. o  사랑한다. o  정말 사 사랑해.'
Sess03_script04_F009	3	'팀장님 말씀이 좀 지나치신 거 같(은데)'
Sess03_impro04_F007	3	'어 아니 뭐 지금 다시 먹고 싶은 거 해줄 수도 있구.'
Sess03_impro04_M010	1	'손이 왜 그래?'
Sess03_impro04_M037	3	'아 몰라 나 오늘 피곤해 나 내일 수술도 있고 좀 자야돼. (이제)'
Sess03_script05_F012	6	'화 낸다고 달라질 거 없어.'
Sess03_script01_F011	5	'자기 무섭게 왜 이래.'
Sess03_impro04_M043	0	'아이 무슨 말을 피곤해. o  N  진짜.'
Sess03_script04_F004	3	'전 차인 거네요?'
Sess03_script02_M009	1	'쉬 쉬 o  쉬 o  아니 뭐 뭐 이렇게 크게 말해 부끄럽게.'
Sess03_script02_M028	1	'이게 뭔데?'
Sess03_impro03_M010	3	'네 지금 제가 책임잔데요.'
Sess03_script01_F003	5	'아 지금 생각할 게 뭐 있어.    지섭씨는 여기 있어.    일단 일단 내가 가서 보고 올테니깐 (좀 기 기다리고 있어)'
Sess03_impro01_F018	3	'알아 응? 래현이 마음 엄마도 잘 알아 너무 속상해 하지    너무 속상해하니깐 그래서 그런 거지. 만나다보면 헤어질 수도 있고 어 더 좋은 여자 만나서 응? 만나면 되는거지 지연이만 있는 것도 아니고.'
Sess03_impro04_F039	0	'o  진영이가 왜 진영이 지금 잠 아주 잘 들었어. (어젯 아까 전에 아냐아냐 됐어 됐어) 땀 많이 빼고 힘들어가지고 너무 너무 지금 곯아 떨어졌어. 근데    뭐라고 아까 전에? 난 못 들었는데 뭐 뭐라했지? 어? 뭐라했지? 아 잘 못 들었는데.'
Sess03_impro01_M012	2	'아니 김부장이    별 것도 아닌 거 같다 나한테 자꾸 짜증내고 그런다니까.'
Sess03_impro04_M032	3	'어 안 할 거야 진짜 안 할 거야.'
Sess03_impro04_M001	3	'아 여보 (나 왔어).'
Sess03_script05_F015	6	'사실    우리 아빠도 나랑 같은 병이었어.'
Sess03_impro01_F008	3	'아유 그래 그랬구나.'
Sess03_script03_M013	3	'그럼 됐죠 뭐.    연애이야기 물어본 건 뭐 저도 실례했으니까 이해해주시고요 어쨌든 o  이게 다 면접 방식중 하납니다. 이해하시죠?    아 그리고 이력서에 보니까 특기가 노래랑 춤이라고 적혀있는데 노래 잘해요?'
Sess03_impro04_M033	3	'진짜로 안 할거야.'
Sess03_impro02_F014	2	'저 이걸로 상도 받았어요.'
Sess03_script05_F001	3	'뭐가 그렇게 재밌어? o'
Sess03_impro03_F005	3	'근데 내가 이렇게 부른 거는'
Sess03_impro04_F009	3	'그리고 음식 준비해야겠다.'
Sess03_script03_F019	2	'아무리 약자라고 기본적이고 인간적인 대우를 해줘야 될 거 아니야.    시간 때우려고 니들 심심풀이 땅콩으로 채우려고 지원자 갖고 놀지 말고.'
Sess03_script03_F001	3	'네. 이유진입니다.'
Sess03_impro04_M020	3	'아니.'
Sess03_script05_M014	6	'여보 o  미안해. 아 어 o  소리쳐서 미안해.    아 아 이왕 이렇게 된 거    할 수 있는 한 뭐든지 해보자 어?    요즘 의사들 돌팔이들 많다잖아. 아닐 수도 있어 어?    그리고 6개월이 아니라 6년 아니 o  60년을 살 수도 있고    어 어서 병원에 가자    어?'
Sess03_script02_F009	3	'아 어때. 난 오빠 여잔데. 내가 부끄러?'
Sess03_script04_F002	3	'회의시작 전이죠?'
Sess03_impro03_M006	3	'아아 네네 추가비용이 조금 발생하게 네 발생할 수 밖에 없는 상황이라서요.'
Sess03_script03_F016	3	'아 아 아닙니다 아닙니다. 하겠습니다.    사랑을 했다 우리가 만나. o'
Sess03_script01_F010	1	'지섭씨.'
Sess03_impro04_F004	3	'어 진짜?    o  간단하게 뭐라도 해줘야겠네.'
Sess03_impro02_F018	2	'그러면 그게 무슨 잘못 됐다는 겁니까?'
Sess03_impro02_M019	2	'그래요 그래요 근데 이렇게 만들면 안 돼죠.'
Sess03_script01_M031	2	'o  완전히 끝장 내야지.'
Sess03_impro03_F014	3	'이게 지금    징계위원회에 들어갈 것 같아요. 추가비용이 너무 크게 (나와서).'
Sess03_script05_M018	6	'미숙아. o     그게 중요한 게 아니야. 지금 그런 거 중요한 게 아니잖아. o  일단 입원치료 하고 수술받자 어?    그럼 살 수 있어. o'
Sess03_impro04_M024	3	'아. 지금 와서 뭐 그런 애길 해.'
Sess03_impro04_F020	0	'아니 우리 신혼 첫 날 때 그 우리 신혼 초반 때.'
Sess03_script02_M011	3	'근데 꿈은 왜 물어본 거야?'
Sess03_script06_F022	0	'알았어. 걱정하지마. 내가 입이 무겁잖아. 아 그러니까 신상 구두좀 사(줘)'
Sess03_script04_F006	3	'뭐 이리 깐깐하실까?    어차피 환경프로젝트가 시작되면 회사사람은 다 아는 아이디어일텐데    굳이 감추실 필요는 없잖아요.'
Sess03_impro04_M039	3	'(뭘 사랑하냐고) 사랑해.'
Sess03_impro02_F001	3	''
Sess03_impro04_M008	3	'그래    뭐 대충 먹자.'
Sess03_script04_F016	2	'(도 이제) 제 이야긴 끝난 거 같네요. 회의시작 10분 전입니다. 저는 소은씨에게 5분을 드렸고 소은씨는 어느정도 이해한 거 같은데 버려진 5분만큼 본인을 발전시키고 나중에 만납시다. 그럼    나가주시죠.'
Sess03_script05_M008	1	'뭐?'
